日期,年,季,月,日,年度名称,季度名称,年度季度,年季编号,月份名称,英文月份,年度月份,年月编号,年度第几日,星期编号,星期英文,年度第几周,周编号,年周,日期编码,CN节假日判断,CN节假日名称,农历日期,农历年,农历月日
2022-09-08,2022,3,9,8,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,251,星期四,Thursday,37,W37,2022W37,20220908,否,工作日,二零二二年八月十三 壬寅年 (虎年),二零二二年,八月十三
2022-09-09,2022,3,9,9,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,252,星期五,Friday,37,W37,2022W37,20220909,否,工作日,二零二二年八月十四 壬寅年 (虎年),二零二二年,八月十四
2022-09-10,2022,3,9,10,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,253,星期六,Saturday,37,W37,2022W37,20220910,是,周末,二零二二年八月十五 壬寅年 (虎年),二零二二年,八月十五
2022-09-11,2022,3,9,11,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,254,星期日,Sunday,37,W37,2022W37,20220911,是,周末,二零二二年八月十六 壬寅年 (虎年),二零二二年,八月十六
2022-09-12,2022,3,9,12,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,255,星期一,Monday,38,W38,2022W38,20220912,是,周末,二零二二年八月十七 壬寅年 (虎年),二零二二年,八月十七
2022-09-13,2022,3,9,13,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,256,星期二,Tuesday,38,W38,2022W38,20220913,否,工作日,二零二二年八月十八 壬寅年 (虎年),二零二二年,八月十八
2022-09-14,2022,3,9,14,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,257,星期三,Wednesday,38,W38,2022W38,20220914,否,工作日,二零二二年八月十九 壬寅年 (虎年),二零二二年,八月十九
2022-09-15,2022,3,9,15,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,258,星期四,Thursday,38,W38,2022W38,20220915,否,工作日,二零二二年八月二十 壬寅年 (虎年),二零二二年,八月二十
2022-09-16,2022,3,9,16,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,259,星期五,Friday,38,W38,2022W38,20220916,否,工作日,二零二二年八月二十一 壬寅年 (虎年),二零二二年,八月二十一
2022-09-17,2022,3,9,17,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,260,星期六,Saturday,38,W38,2022W38,20220917,是,周末,二零二二年八月二十二 壬寅年 (虎年),二零二二年,八月二十二
2022-09-18,2022,3,9,18,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,261,星期日,Sunday,38,W38,2022W38,20220918,是,周末,二零二二年八月二十三 壬寅年 (虎年),二零二二年,八月二十三
2022-09-19,2022,3,9,19,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,262,星期一,Monday,39,W39,2022W39,20220919,否,工作日,二零二二年八月二十四 壬寅年 (虎年),二零二二年,八月二十四
2022-09-20,2022,3,9,20,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,263,星期二,Tuesday,39,W39,2022W39,20220920,否,工作日,二零二二年八月二十五 壬寅年 (虎年),二零二二年,八月二十五
2022-09-21,2022,3,9,21,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,264,星期三,Wednesday,39,W39,2022W39,20220921,否,工作日,二零二二年八月二十六 壬寅年 (虎年),二零二二年,八月二十六
2022-09-22,2022,3,9,22,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,265,星期四,Thursday,39,W39,2022W39,20220922,否,工作日,二零二二年八月二十七 壬寅年 (虎年),二零二二年,八月二十七
2022-09-23,2022,3,9,23,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,266,星期五,Friday,39,W39,2022W39,20220923,否,工作日,二零二二年八月二十八 壬寅年 (虎年),二零二二年,八月二十八
2022-09-24,2022,3,9,24,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,267,星期六,Saturday,39,W39,2022W39,20220924,是,周末,二零二二年八月二十九 壬寅年 (虎年),二零二二年,八月二十九
2022-09-25,2022,3,9,25,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,268,星期日,Sunday,39,W39,2022W39,20220925,是,周末,二零二二年八月三十 壬寅年 (虎年),二零二二年,八月三十
2022-09-26,2022,3,9,26,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,269,星期一,Monday,40,W40,2022W40,20220926,否,工作日,二零二二年九月初一 壬寅年 (虎年),二零二二年,九月初一
2022-09-27,2022,3,9,27,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,270,星期二,Tuesday,40,W40,2022W40,20220927,否,工作日,二零二二年九月初二 壬寅年 (虎年),二零二二年,九月初二
2022-09-28,2022,3,9,28,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,271,星期三,Wednesday,40,W40,2022W40,20220928,否,工作日,二零二二年九月初三 壬寅年 (虎年),二零二二年,九月初三
2022-09-29,2022,3,9,29,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,272,星期四,Thursday,40,W40,2022W40,20220929,否,工作日,二零二二年九月初四 壬寅年 (虎年),二零二二年,九月初四
2022-09-30,2022,3,9,30,Y2022,Q3,Y2022Q3,20223,九月,September,202209,9,273,星期五,Friday,40,W40,2022W40,20220930,否,工作日,二零二二年九月初五 壬寅年 (虎年),二零二二年,九月初五
2022-10-01,2022,4,10,1,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,274,星期六,Saturday,40,W40,2022W40,20221001,是,国庆节,二零二二年九月初六 壬寅年 (虎年),二零二二年,九月初六
2022-10-02,2022,4,10,2,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,275,星期日,Sunday,40,W40,2022W40,20221002,是,国庆节,二零二二年九月初七 壬寅年 (虎年),二零二二年,九月初七
2022-10-03,2022,4,10,3,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,276,星期一,Monday,41,W41,2022W41,20221003,是,国庆节,二零二二年九月初八 壬寅年 (虎年),二零二二年,九月初八
2022-10-04,2022,4,10,4,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,277,星期二,Tuesday,41,W41,2022W41,20221004,是,国庆节,二零二二年九月初九 壬寅年 (虎年),二零二二年,九月初九
2022-10-05,2022,4,10,5,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,278,星期三,Wednesday,41,W41,2022W41,20221005,是,国庆节,二零二二年九月初十 壬寅年 (虎年),二零二二年,九月初十
2022-10-06,2022,4,10,6,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,279,星期四,Thursday,41,W41,2022W41,20221006,是,国庆节,二零二二年九月十一 壬寅年 (虎年),二零二二年,九月十一
2022-10-07,2022,4,10,7,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,280,星期五,Friday,41,W41,2022W41,20221007,是,国庆节,二零二二年九月十二 壬寅年 (虎年),二零二二年,九月十二
2022-10-08,2022,4,10,8,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,281,星期六,Saturday,41,W41,2022W41,20221008,否,工作日,二零二二年九月十三 壬寅年 (虎年),二零二二年,九月十三
2022-10-09,2022,4,10,9,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,282,星期日,Sunday,41,W41,2022W41,20221009,否,工作日,二零二二年九月十四 壬寅年 (虎年),二零二二年,九月十四
2022-10-10,2022,4,10,10,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,283,星期一,Monday,42,W42,2022W42,20221010,否,工作日,二零二二年九月十五 壬寅年 (虎年),二零二二年,九月十五
2022-10-11,2022,4,10,11,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,284,星期二,Tuesday,42,W42,2022W42,20221011,否,工作日,二零二二年九月十六 壬寅年 (虎年),二零二二年,九月十六
2022-10-12,2022,4,10,12,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,285,星期三,Wednesday,42,W42,2022W42,20221012,否,工作日,二零二二年九月十七 壬寅年 (虎年),二零二二年,九月十七
2022-10-13,2022,4,10,13,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,286,星期四,Thursday,42,W42,2022W42,20221013,否,工作日,二零二二年九月十八 壬寅年 (虎年),二零二二年,九月十八
2022-10-14,2022,4,10,14,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,287,星期五,Friday,42,W42,2022W42,20221014,否,工作日,二零二二年九月十九 壬寅年 (虎年),二零二二年,九月十九
2022-10-15,2022,4,10,15,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,288,星期六,Saturday,42,W42,2022W42,20221015,是,周末,二零二二年九月二十 壬寅年 (虎年),二零二二年,九月二十
2022-10-16,2022,4,10,16,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,289,星期日,Sunday,42,W42,2022W42,20221016,是,周末,二零二二年九月二十一 壬寅年 (虎年),二零二二年,九月二十一
2022-10-17,2022,4,10,17,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,290,星期一,Monday,43,W43,2022W43,20221017,否,工作日,二零二二年九月二十二 壬寅年 (虎年),二零二二年,九月二十二
2022-10-18,2022,4,10,18,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,291,星期二,Tuesday,43,W43,2022W43,20221018,否,工作日,二零二二年九月二十三 壬寅年 (虎年),二零二二年,九月二十三
2022-10-19,2022,4,10,19,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,292,星期三,Wednesday,43,W43,2022W43,20221019,否,工作日,二零二二年九月二十四 壬寅年 (虎年),二零二二年,九月二十四
2022-10-20,2022,4,10,20,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,293,星期四,Thursday,43,W43,2022W43,20221020,否,工作日,二零二二年九月二十五 壬寅年 (虎年),二零二二年,九月二十五
2022-10-21,2022,4,10,21,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,294,星期五,Friday,43,W43,2022W43,20221021,否,工作日,二零二二年九月二十六 壬寅年 (虎年),二零二二年,九月二十六
2022-10-22,2022,4,10,22,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,295,星期六,Saturday,43,W43,2022W43,20221022,是,周末,二零二二年九月二十七 壬寅年 (虎年),二零二二年,九月二十七
2022-10-23,2022,4,10,23,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,296,星期日,Sunday,43,W43,2022W43,20221023,是,周末,二零二二年九月二十八 壬寅年 (虎年),二零二二年,九月二十八
2022-10-24,2022,4,10,24,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,297,星期一,Monday,44,W44,2022W44,20221024,否,工作日,二零二二年九月二十九 壬寅年 (虎年),二零二二年,九月二十九
2022-10-25,2022,4,10,25,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,298,星期二,Tuesday,44,W44,2022W44,20221025,否,工作日,二零二二年十月初一 壬寅年 (虎年),二零二二年,十月初一
2022-10-26,2022,4,10,26,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,299,星期三,Wednesday,44,W44,2022W44,20221026,否,工作日,二零二二年十月初二 壬寅年 (虎年),二零二二年,十月初二
2022-10-27,2022,4,10,27,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,300,星期四,Thursday,44,W44,2022W44,20221027,否,工作日,二零二二年十月初三 壬寅年 (虎年),二零二二年,十月初三
2022-10-28,2022,4,10,28,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,301,星期五,Friday,44,W44,2022W44,20221028,否,工作日,二零二二年十月初四 壬寅年 (虎年),二零二二年,十月初四
2022-10-29,2022,4,10,29,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,302,星期六,Saturday,44,W44,2022W44,20221029,是,周末,二零二二年十月初五 壬寅年 (虎年),二零二二年,十月初五
2022-10-30,2022,4,10,30,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,303,星期日,Sunday,44,W44,2022W44,20221030,是,周末,二零二二年十月初六 壬寅年 (虎年),二零二二年,十月初六
2022-10-31,2022,4,10,31,Y2022,Q4,Y2022Q4,20224,十月,October,202210,10,304,星期一,Monday,45,W45,2022W45,20221031,否,工作日,二零二二年十月初七 壬寅年 (虎年),二零二二年,十月初七
2022-11-01,2022,4,11,1,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,305,星期二,Tuesday,45,W45,2022W45,20221101,否,工作日,二零二二年十月初八 壬寅年 (虎年),二零二二年,十月初八
2022-11-02,2022,4,11,2,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,306,星期三,Wednesday,45,W45,2022W45,20221102,否,工作日,二零二二年十月初九 壬寅年 (虎年),二零二二年,十月初九
2022-11-03,2022,4,11,3,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,307,星期四,Thursday,45,W45,2022W45,20221103,否,工作日,二零二二年十月初十 壬寅年 (虎年),二零二二年,十月初十
2022-11-04,2022,4,11,4,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,308,星期五,Friday,45,W45,2022W45,20221104,否,工作日,二零二二年十月十一 壬寅年 (虎年),二零二二年,十月十一
2022-11-05,2022,4,11,5,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,309,星期六,Saturday,45,W45,2022W45,20221105,是,周末,二零二二年十月十二 壬寅年 (虎年),二零二二年,十月十二
2022-11-06,2022,4,11,6,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,310,星期日,Sunday,45,W45,2022W45,20221106,是,周末,二零二二年十月十三 壬寅年 (虎年),二零二二年,十月十三
2022-11-07,2022,4,11,7,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,311,星期一,Monday,46,W46,2022W46,20221107,否,工作日,二零二二年十月十四 壬寅年 (虎年),二零二二年,十月十四
2022-11-08,2022,4,11,8,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,312,星期二,Tuesday,46,W46,2022W46,20221108,否,工作日,二零二二年十月十五 壬寅年 (虎年),二零二二年,十月十五
2022-11-09,2022,4,11,9,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,313,星期三,Wednesday,46,W46,2022W46,20221109,否,工作日,二零二二年十月十六 壬寅年 (虎年),二零二二年,十月十六
2022-11-10,2022,4,11,10,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,314,星期四,Thursday,46,W46,2022W46,20221110,否,工作日,二零二二年十月十七 壬寅年 (虎年),二零二二年,十月十七
2022-11-11,2022,4,11,11,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,315,星期五,Friday,46,W46,2022W46,20221111,否,工作日,二零二二年十月十八 壬寅年 (虎年),二零二二年,十月十八
2022-11-12,2022,4,11,12,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,316,星期六,Saturday,46,W46,2022W46,20221112,是,周末,二零二二年十月十九 壬寅年 (虎年),二零二二年,十月十九
2022-11-13,2022,4,11,13,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,317,星期日,Sunday,46,W46,2022W46,20221113,是,周末,二零二二年十月二十 壬寅年 (虎年),二零二二年,十月二十
2022-11-14,2022,4,11,14,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,318,星期一,Monday,47,W47,2022W47,20221114,否,工作日,二零二二年十月二十一 壬寅年 (虎年),二零二二年,十月二十一
2022-11-15,2022,4,11,15,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,319,星期二,Tuesday,47,W47,2022W47,20221115,否,工作日,二零二二年十月二十二 壬寅年 (虎年),二零二二年,十月二十二
2022-11-16,2022,4,11,16,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,320,星期三,Wednesday,47,W47,2022W47,20221116,否,工作日,二零二二年十月二十三 壬寅年 (虎年),二零二二年,十月二十三
2022-11-17,2022,4,11,17,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,321,星期四,Thursday,47,W47,2022W47,20221117,否,工作日,二零二二年十月二十四 壬寅年 (虎年),二零二二年,十月二十四
2022-11-18,2022,4,11,18,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,322,星期五,Friday,47,W47,2022W47,20221118,否,工作日,二零二二年十月二十五 壬寅年 (虎年),二零二二年,十月二十五
2022-11-19,2022,4,11,19,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,323,星期六,Saturday,47,W47,2022W47,20221119,是,周末,二零二二年十月二十六 壬寅年 (虎年),二零二二年,十月二十六
2022-11-20,2022,4,11,20,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,324,星期日,Sunday,47,W47,2022W47,20221120,是,周末,二零二二年十月二十七 壬寅年 (虎年),二零二二年,十月二十七
2022-11-21,2022,4,11,21,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,325,星期一,Monday,48,W48,2022W48,20221121,否,工作日,二零二二年十月二十八 壬寅年 (虎年),二零二二年,十月二十八
2022-11-22,2022,4,11,22,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,326,星期二,Tuesday,48,W48,2022W48,20221122,否,工作日,二零二二年十月二十九 壬寅年 (虎年),二零二二年,十月二十九
2022-11-23,2022,4,11,23,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,327,星期三,Wednesday,48,W48,2022W48,20221123,否,工作日,二零二二年十月三十 壬寅年 (虎年),二零二二年,十月三十
2022-11-24,2022,4,11,24,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,328,星期四,Thursday,48,W48,2022W48,20221124,否,工作日,二零二二年十一月初一 壬寅年 (虎年),二零二二年,十一月初一
2022-11-25,2022,4,11,25,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,329,星期五,Friday,48,W48,2022W48,20221125,否,工作日,二零二二年十一月初二 壬寅年 (虎年),二零二二年,十一月初二
2022-11-26,2022,4,11,26,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,330,星期六,Saturday,48,W48,2022W48,20221126,是,周末,二零二二年十一月初三 壬寅年 (虎年),二零二二年,十一月初三
2022-11-27,2022,4,11,27,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,331,星期日,Sunday,48,W48,2022W48,20221127,是,周末,二零二二年十一月初四 壬寅年 (虎年),二零二二年,十一月初四
2022-11-28,2022,4,11,28,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,332,星期一,Monday,49,W49,2022W49,20221128,否,工作日,二零二二年十一月初五 壬寅年 (虎年),二零二二年,十一月初五
2022-11-29,2022,4,11,29,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,333,星期二,Tuesday,49,W49,2022W49,20221129,否,工作日,二零二二年十一月初六 壬寅年 (虎年),二零二二年,十一月初六
2022-11-30,2022,4,11,30,Y2022,Q4,Y2022Q4,20224,十一月,November,202211,11,334,星期三,Wednesday,49,W49,2022W49,20221130,否,工作日,二零二二年十一月初七 壬寅年 (虎年),二零二二年,十一月初七
2022-12-01,2022,4,12,1,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,335,星期四,Thursday,49,W49,2022W49,20221201,否,工作日,二零二二年十一月初八 壬寅年 (虎年),二零二二年,十一月初八
2022-12-02,2022,4,12,2,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,336,星期五,Friday,49,W49,2022W49,20221202,否,工作日,二零二二年十一月初九 壬寅年 (虎年),二零二二年,十一月初九
2022-12-03,2022,4,12,3,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,337,星期六,Saturday,49,W49,2022W49,20221203,是,周末,二零二二年十一月初十 壬寅年 (虎年),二零二二年,十一月初十
2022-12-04,2022,4,12,4,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,338,星期日,Sunday,49,W49,2022W49,20221204,是,周末,二零二二年十一月十一 壬寅年 (虎年),二零二二年,十一月十一
2022-12-05,2022,4,12,5,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,339,星期一,Monday,50,W50,2022W50,20221205,否,工作日,二零二二年十一月十二 壬寅年 (虎年),二零二二年,十一月十二
2022-12-06,2022,4,12,6,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,340,星期二,Tuesday,50,W50,2022W50,20221206,否,工作日,二零二二年十一月十三 壬寅年 (虎年),二零二二年,十一月十三
2022-12-07,2022,4,12,7,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,341,星期三,Wednesday,50,W50,2022W50,20221207,否,工作日,二零二二年十一月十四 壬寅年 (虎年),二零二二年,十一月十四
2022-12-08,2022,4,12,8,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,342,星期四,Thursday,50,W50,2022W50,20221208,否,工作日,二零二二年十一月十五 壬寅年 (虎年),二零二二年,十一月十五
2022-12-09,2022,4,12,9,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,343,星期五,Friday,50,W50,2022W50,20221209,否,工作日,二零二二年十一月十六 壬寅年 (虎年),二零二二年,十一月十六
2022-12-10,2022,4,12,10,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,344,星期六,Saturday,50,W50,2022W50,20221210,是,周末,二零二二年十一月十七 壬寅年 (虎年),二零二二年,十一月十七
2022-12-11,2022,4,12,11,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,345,星期日,Sunday,50,W50,2022W50,20221211,是,周末,二零二二年十一月十八 壬寅年 (虎年),二零二二年,十一月十八
2022-12-12,2022,4,12,12,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,346,星期一,Monday,51,W51,2022W51,20221212,否,工作日,二零二二年十一月十九 壬寅年 (虎年),二零二二年,十一月十九
2022-12-13,2022,4,12,13,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,347,星期二,Tuesday,51,W51,2022W51,20221213,否,工作日,二零二二年十一月二十 壬寅年 (虎年),二零二二年,十一月二十
2022-12-14,2022,4,12,14,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,348,星期三,Wednesday,51,W51,2022W51,20221214,否,工作日,二零二二年十一月二十一 壬寅年 (虎年),二零二二年,十一月二十一
2022-12-15,2022,4,12,15,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,349,星期四,Thursday,51,W51,2022W51,20221215,否,工作日,二零二二年十一月二十二 壬寅年 (虎年),二零二二年,十一月二十二
2022-12-16,2022,4,12,16,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,350,星期五,Friday,51,W51,2022W51,20221216,否,工作日,二零二二年十一月二十三 壬寅年 (虎年),二零二二年,十一月二十三
2022-12-17,2022,4,12,17,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,351,星期六,Saturday,51,W51,2022W51,20221217,是,周末,二零二二年十一月二十四 壬寅年 (虎年),二零二二年,十一月二十四
2022-12-18,2022,4,12,18,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,352,星期日,Sunday,51,W51,2022W51,20221218,是,周末,二零二二年十一月二十五 壬寅年 (虎年),二零二二年,十一月二十五
2022-12-19,2022,4,12,19,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,353,星期一,Monday,52,W52,2022W52,20221219,否,工作日,二零二二年十一月二十六 壬寅年 (虎年),二零二二年,十一月二十六
2022-12-20,2022,4,12,20,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,354,星期二,Tuesday,52,W52,2022W52,20221220,否,工作日,二零二二年十一月二十七 壬寅年 (虎年),二零二二年,十一月二十七
2022-12-21,2022,4,12,21,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,355,星期三,Wednesday,52,W52,2022W52,20221221,否,工作日,二零二二年十一月二十八 壬寅年 (虎年),二零二二年,十一月二十八
2022-12-22,2022,4,12,22,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,356,星期四,Thursday,52,W52,2022W52,20221222,否,工作日,二零二二年十一月二十九 壬寅年 (虎年),二零二二年,十一月二十九
2022-12-23,2022,4,12,23,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,357,星期五,Friday,52,W52,2022W52,20221223,否,工作日,二零二二年腊月初一 壬寅年 (虎年),二零二二年,腊月初一
2022-12-24,2022,4,12,24,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,358,星期六,Saturday,52,W52,2022W52,20221224,是,周末,二零二二年腊月初二 壬寅年 (虎年),二零二二年,腊月初二
2022-12-25,2022,4,12,25,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,359,星期日,Sunday,52,W52,2022W52,20221225,是,周末,二零二二年腊月初三 壬寅年 (虎年),二零二二年,腊月初三
2022-12-26,2022,4,12,26,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,360,星期一,Monday,53,W53,2022W53,20221226,否,工作日,二零二二年腊月初四 壬寅年 (虎年),二零二二年,腊月初四
2022-12-27,2022,4,12,27,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,361,星期二,Tuesday,53,W53,2022W53,20221227,否,工作日,二零二二年腊月初五 壬寅年 (虎年),二零二二年,腊月初五
2022-12-28,2022,4,12,28,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,362,星期三,Wednesday,53,W53,2022W53,20221228,否,工作日,二零二二年腊月初六 壬寅年 (虎年),二零二二年,腊月初六
2022-12-29,2022,4,12,29,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,363,星期四,Thursday,53,W53,2022W53,20221229,否,工作日,二零二二年腊月初七 壬寅年 (虎年),二零二二年,腊月初七
2022-12-30,2022,4,12,30,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,364,星期五,Friday,53,W53,2022W53,20221230,否,工作日,二零二二年腊月初八 壬寅年 (虎年),二零二二年,腊月初八
2022-12-31,2022,4,12,31,Y2022,Q4,Y2022Q4,20224,十二月,December,202212,12,365,星期六,Saturday,53,W53,2022W53,20221231,是,元旦,二零二二年腊月初九 壬寅年 (虎年),二零二二年,腊月初九
2023-01-01,2023,1,1,1,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,1,星期日,Sunday,1,W1,2023W1,20230101,是,元旦,二零二二年腊月初十 壬寅年 (虎年),二零二二年,腊月初十
2023-01-02,2023,1,1,2,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,2,星期一,Monday,2,W2,2023W2,20230102,是,元旦,二零二二年腊月十一 壬寅年 (虎年),二零二二年,腊月十一
2023-01-03,2023,1,1,3,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,3,星期二,Tuesday,2,W2,2023W2,20230103,否,工作日,二零二二年腊月十二 壬寅年 (虎年),二零二二年,腊月十二
2023-01-04,2023,1,1,4,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,4,星期三,Wednesday,2,W2,2023W2,20230104,否,工作日,二零二二年腊月十三 壬寅年 (虎年),二零二二年,腊月十三
2023-01-05,2023,1,1,5,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,5,星期四,Thursday,2,W2,2023W2,20230105,否,工作日,二零二二年腊月十四 壬寅年 (虎年),二零二二年,腊月十四
2023-01-06,2023,1,1,6,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,6,星期五,Friday,2,W2,2023W2,20230106,否,工作日,二零二二年腊月十五 壬寅年 (虎年),二零二二年,腊月十五
2023-01-07,2023,1,1,7,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,7,星期六,Saturday,2,W2,2023W2,20230107,是,周末,二零二二年腊月十六 壬寅年 (虎年),二零二二年,腊月十六
2023-01-08,2023,1,1,8,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,8,星期日,Sunday,2,W2,2023W2,20230108,是,周末,二零二二年腊月十七 壬寅年 (虎年),二零二二年,腊月十七
2023-01-09,2023,1,1,9,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,9,星期一,Monday,3,W3,2023W3,20230109,否,工作日,二零二二年腊月十八 壬寅年 (虎年),二零二二年,腊月十八
2023-01-10,2023,1,1,10,Y2023,Q1,Y2023Q1,20231,一月,January,202301,13,10,星期二,Tuesday,3,W3,2023W3,20230110,否,工作日,二零二二年腊月十九 壬寅年 (虎年),二零二二年,腊月十九
